Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,24.683,74.331,373,BS633,2.9,0.5591,0.0189,0.006,0.0033,0.4106,0.0021
Tierney and Tingley 2015,24.938,75.001,182,BS635,0.5,0.4776,0.0135,0.0043,0.0029,0.4994,0.0022
Tierney and Tingley 2015,27.893,75.563,263,BS639,1.8,0.4971,0.0142,0.0045,0.0029,0.4794,0.0018
Tierney and Tingley 2015,29.905,76.486,291,BS643,0.7,0.5258,0.0148,0.0043,0.0026,0.4504,0.0021
Tierney and Tingley 2015,29.45,75.853,296,BS645,2.1,0.5124,0.0145,0.0044,0.0027,0.464,0.002
Tierney and Tingley 2015,29,75.201,343,BS647,2,0.5067,0.0153,0.0047,0.0028,0.4683,0.0023
Tierney and Tingley 2015,28.566,74.535,394,BS649,3.8,0.55,0.0172,0.0052,0.003,0.4225,0.002
Tierney and Tingley 2015,26.065,74.63,317,BS651,3.7,0.5596,0.0176,0.0053,0.0031,0.4126,0.0017
Tierney and Tingley 2015,25.798,73.972,441,BS653,4.8,0.5515,0.0198,0.0058,0.0031,0.4178,0.0021
Tierney and Tingley 2015,25.532,73.297,412,BS655,4.8,0.5642,0.0242,0.0068,0.0034,0.3991,0.0022
Tierney and Tingley 2015,25.269,72.634,268,BS657,5.7,0.5486,0.0281,0.0091,0.0042,0.4072,0.0028
Tierney and Tingley 2015,25.047,71.972,256,BS659,6.2,0.5421,0.0341,0.0104,0.0047,0.4057,0.0029
Tierney and Tingley 2015,22.758,71.371,408,BS661,6.4,0.5258,0.0389,0.0118,0.0053,0.4145,0.0037
Tierney and Tingley 2015,28.399,72.167,289,BS665,5.4,0.5436,0.0282,0.0085,0.0042,0.4126,0.0031
Tierney and Tingley 2015,28.754,72.832,305,BS667,5.4,0.5681,0.0274,0.0084,0.0037,0.3898,0.0026
Tierney and Tingley 2015,29.146,73.501,414,BS669,4.7,0.5527,0.021,0.0062,0.0032,0.4143,0.0025
Tierney and Tingley 2015,-1.315,62.643,1702,BS671,8.6,0.5431,0.019,0.0057,0.0032,0.4267,0.0024
Tierney and Tingley 2015,32.49,74.667,165,BS673,2.9,0.4712,0.0125,0.0042,0.003,0.5069,0.0022
Tierney and Tingley 2015,33.069,75.315,209,BS675,2.1,0.4798,0.0127,0.0042,0.003,0.4977,0.0025
Tierney and Tingley 2015,33.733,75.967,276,BS677,2.1,0.5127,0.0148,0.0048,0.0029,0.4624,0.0025
Tierney and Tingley 2015,34.45,76.617,193,BS679,0.2,0.5107,0.0158,0.0047,0.003,0.4639,0.0019
Tierney and Tingley 2015,37.167,76.433,249,BS681,0.7,0.5306,0.0154,0.0046,0.0027,0.4445,0.0021
Tierney and Tingley 2015,30.947,71.013,283,BS690,5.8,0.5295,0.0234,0.007,0.0035,0.4339,0.0028
Tierney and Tingley 2015,31.712,70.621,252,BS692,5.5,0.5183,0.0256,0.0078,0.0037,0.4415,0.003
Tierney and Tingley 2015,18.712,58.621,466,31 Landsort de,7.3,0.4429,0.0215,0.0082,0.0025,0.5211,0.0038
Tierney and Tingley 2015,17.712,58.621,54,Landsort dee,7.3,0.4957,0.0233,0.0073,0.0028,0.4676,0.0034
Tierney and Tingley 2015,15.712,55.621,89,BY5 Bornholm,8.4,0.4313,0.0234,0.0085,0.0028,0.5308,0.0032
Tierney and Tingley 2015,-65.6,10.667,,Cariaco Basin,26.6,0.1624,0.0651,0.0937,0.0237,0.6034,0.0516
Tierney and Tingley 2015,-128,46.75,2700,CB1 MC15,12.2,0.434,0.0846,0.0547,0.0035,0.4062,0.0169
Tierney and Tingley 2015,-125.833,46.767,2700,CB2 MC19,12.4,0.4052,0.0704,0.0466,0.0037,0.4606,0.0135
Tierney and Tingley 2015,40.167,17.65,1470,CHN-043-1-4,29.3,0.0894,0.0411,0.1019,0.0264,0.6366,0.1047
Tierney and Tingley 2015,40.167,17.65,1296,CHN-043-1-5,29.3,0.1397,0.0478,0.0931,0.0256,0.6034,0.0904
Tierney and Tingley 2015,5.33,-51,3788,CHN-115-4-34,2.4,0.4471,0.0779,0.0337,0.0109,0.4201,0.0103
Tierney and Tingley 2015,0.1,-53.6,2643,CHN-115-4-35,0.7,0.5434,0.061,0.0192,0.0039,0.3655,0.0069
Tierney and Tingley 2015,0.08,-54.592,1260,CHN-115-4-43,-0.1,0.4461,0.0578,0.0334,0.0096,0.4461,0.007
Tierney and Tingley 2015,-58.712,46.621,370,CL03-35 BC,6.3,0.4682,0.034,0.0127,0.0032,0.4773,0.0047
Tierney and Tingley 2015,17.9736,-30.197,242,D357 St. 0,15.7,0.4141,0.0584,0.0268,0.0096,0.4683,0.0228
Tierney and Tingley 2015,17.0363,-34.6213,2620,D357 St. 1,17.9,0.3988,0.0759,0.0503,0.0078,0.4456,0.0217
Tierney and Tingley 2015,7.6704,-39.2945,5269,D357 St. 11,12.8,0.3716,0.0713,0.0544,0.0088,0.4631,0.0307
Tierney and Tingley 2015,17.5695,-34.3878,1168,D357 St. 13,17.9,0.399,0.0399,0.0267,0.005,0.516,0.0133
Tierney and Tingley 2015,13.1091,-36.4956,4900,D357 St. 3,18,0.3508,0.0783,0.0623,0.0086,0.4705,0.0295
Tierney and Tingley 2015,0.9075,-40.0032,4928,D357 St. 6,11.3,0.412,0.0783,0.0462,0.0044,0.4412,0.018
Tierney and Tingley 2015,17.9736,-34.3263,733,D357 St. 8,17.9,0.3792,0.0549,0.0283,0.0069,0.5121,0.0186
